state,date,sex,age,ethnicity,population
Kedah,1/1/2016,both,overall,chinese,257.3
Kedah,1/1/2016,both,overall,indian,140.5
Kedah,1/1/2016,both,overall,other_citizen,20.4
Kedah,1/1/2016,both,overall,other_noncitizen,94.4
Kedah,1/1/2017,both,overall,overall,2143.9
Kedah,1/1/2017,both,overall,bumi_malay,1625.4
Kedah,1/1/2017,both,overall,bumi_other,3.8
Kedah,1/1/2017,both,overall,chinese,256.5
Kedah,1/1/2017,both,overall,indian,141
Kedah,1/1/2017,both,overall,other_citizen,21.3
Kedah,1/1/2017,both,overall,other_noncitizen,95.9
Kedah,1/1/2018,both,overall,overall,2163
Kedah,1/1/2018,both,overall,bumi_malay,1643
Kedah,1/1/2018,both,overall,bumi_other,3.3
Kedah,1/1/2018,both,overall,chinese,257.8
Kedah,1/1/2018,both,overall,indian,140.9
Kedah,1/1/2018,both,overall,other_citizen,21.6
Kedah,1/1/2018,both,overall,other_noncitizen,96.4
Kedah,1/1/2019,both,overall,overall,2173.7
Kedah,1/1/2019,both,overall,bumi_malay,1661
Kedah,1/1/2019,both,overall,bumi_other,2.4
Kedah,1/1/2019,both,overall,chinese,259.1
Kedah,1/1/2019,both,overall,indian,140.8
Kedah,1/1/2019,both,overall,other_citizen,22
Kedah,1/1/2019,both,overall,other_noncitizen,88.2
Kedah,1/1/2020,both,overall,overall,2131.4
Kedah,1/1/2020,both,overall,bumi_malay,1624.8
Kedah,1/1/2020,both,overall,bumi_other,8
Kedah,1/1/2020,both,overall,chinese,250.6
Kedah,1/1/2020,both,overall,indian,129.1
Kedah,1/1/2020,both,overall,other_citizen,25.7
Kedah,1/1/2020,both,overall,other_noncitizen,93.3
Kedah,1/1/2021,both,overall,overall,2151.7
Kedah,1/1/2021,both,overall,bumi_malay,1653
Kedah,1/1/2021,both,overall,bumi_other,4.6
Kedah,1/1/2021,both,overall,chinese,250.6
Kedah,1/1/2021,both,overall,indian,129.1
Kedah,1/1/2021,both,overall,other_citizen,25.7
Kedah,1/1/2021,both,overall,other_noncitizen,88.8
Kedah,1/1/2022,both,overall,overall,2163.1
Kedah,1/1/2022,both,overall,bumi_malay,1665.5
Kedah,1/1/2022,both,overall,bumi_other,4.7
Kedah,1/1/2022,both,overall,chinese,249.5
Kedah,1/1/2022,both,overall,indian,128.6
Kedah,1/1/2022,both,overall,other_citizen,25.7
Kedah,1/1/2022,both,overall,other_noncitizen,89.1
Kedah,1/1/2023,both,overall,overall,2189.3
Kedah,1/1/2023,both,overall,bumi_malay,1682
Kedah,1/1/2023,both,overall,bumi_other,4.7
Kedah,1/1/2023,both,overall,chinese,248.6
Kedah,1/1/2023,both,overall,indian,128.6
