series,date,state,sector,value(value of GDP in RM millions),,,,,
abs,1/1/2017,Terengganu,p2,173.812,,,,,
abs,1/1/2017,Terengganu,p3,12586.427,,,,,
abs,1/1/2017,Terengganu,p4,1275.923,,,,,
abs,1/1/2017,Terengganu,p5,16916.309,,,,,
abs,1/1/2017,Terengganu,p6,104.767,,,,,
abs,1/1/2017,W.P. Kuala Lumpur,p0,206175.307,,,,,
abs,1/1/2017,W.P. Kuala Lumpur,p1,0,,,,,
abs,1/1/2017,W.P. Kuala Lumpur,p2,145.62,,,,,
abs,1/1/2017,W.P. Kuala Lumpur,p3,5870.658,,,,,
abs,1/1/2017,W.P. Kuala Lumpur,p4,16406.305,,,,,
abs,1/1/2017,W.P. Kuala Lumpur,p5,180195.571,,,,,
abs,1/1/2017,W.P. Kuala Lumpur,p6,3555.524,,,,,
abs,1/1/2017,W.P. Labuan,p0,6789.806,,,,,
abs,1/1/2017,W.P. Labuan,p1,118.722,,,,,
abs,1/1/2017,W.P. Labuan,p2,0,,,,,
abs,1/1/2017,W.P. Labuan,p3,1295.515,,,,,
abs,1/1/2017,W.P. Labuan,p4,135.768,,,,,
abs,1/1/2017,W.P. Labuan,p5,5092.569,,,,,
abs,1/1/2017,W.P. Labuan,p6,147.231,,,,,
abs,1/1/2018,Johor,p0,130585.945,,,,,
abs,1/1/2018,Johor,p1,16246.395,,,,,
abs,1/1/2018,Johor,p2,711.119,,,,,
abs,1/1/2018,Johor,p3,38337.729,,,,,
abs,1/1/2018,Johor,p4,9217.347,,,,,
abs,1/1/2018,Johor,p5,64401.807,,,,,
abs,1/1/2018,Johor,p6,1671.547,,,,,
abs,1/1/2018,Kedah,p0,44803.83,,,,,
abs,1/1/2018,Kedah,p1,5467.96,,,,,
abs,1/1/2018,Kedah,p2,114.924,,,,,
abs,1/1/2018,Kedah,p3,12827.215,,,,,
abs,1/1/2018,Kedah,p4,1008.855,,,,,
abs,1/1/2018,Kedah,p5,25104.159,,,,,
abs,1/1/2018,Kedah,p6,280.717,,,,,
abs,1/1/2018,Kelantan,p0,24142.691,,,,,
abs,1/1/2018,Kelantan,p1,5430.623,,,,,
abs,1/1/2018,Kelantan,p2,359.496,,,,,
abs,1/1/2018,Kelantan,p3,1281.173,,,,,
abs,1/1/2018,Kelantan,p4,324.425,,,,,
abs,1/1/2018,Kelantan,p5,16721.126,,,,,
abs,1/1/2018,Kelantan,p6,25.848,,,,,
abs,1/1/2018,Melaka,p0,42375.671,,,,,
abs,1/1/2018,Melaka,p1,4567.438,,,,,
abs,1/1/2018,Melaka,p2,61.964,,,,,
abs,1/1/2018,Melaka,p3,16334.858,,,,,
abs,1/1/2018,Melaka,p4,1495.597,,,,,
abs,1/1/2018,Melaka,p5,19730.706,,,,,
